code,name,oldprice,price,url
64062-A,Long-sleeved Jersey Top,$24.99,$19.99,http://api.hm.com/us/product/64062?article=64062-A
60829-A,Sleeveless Top with Lace,$24.99,$14.99,http://api.hm.com/us/product/60829?article=60829-A
63178-A,Crushed-velvet Camisole Top,$24.99,$17.99,http://api.hm.com/us/product/63178?article=63178-A
56148-B,Ribbed Top,$19.99,$9.99,http://api.hm.com/us/product/56148?article=56148-B
94115-K,Jersey Top,$12.99,$6.99,http://api.hm.com/us/product/94115?article=94115-K
60245-A,Sleeveless Top,$17.99,$9.99,http://api.hm.com/us/product/60245?article=60245-A
68555-A,Off-the-shoulder Top,$49.99,$29.99,http://api.hm.com/us/product/68555?article=68555-A
69669-A,Short Mesh Top,$14.99,$9.99,http://api.hm.com/us/product/69669?article=69669-A
60791-B,Bustier,$29.99,$14.99,http://api.hm.com/us/product/60791?article=60791-B
61712-B,Draped Top,$19.99,$9.99,http://api.hm.com/us/product/61712?article=61712-B
43241-I,Linen Jersey Top,$17.99,$9.99,http://api.hm.com/us/product/43241?article=43241-I
58380-C,Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/58380?article=58380-C
61034-C,Glittery Top,$39.99,$19.99,http://api.hm.com/us/product/61034?article=61034-C
67801-C,Draped Top,$17.99,$9.99,http://api.hm.com/us/product/67801?article=67801-C
68459-F,Wide-cut Camisole Top,$14.99,$9.99,http://api.hm.com/us/product/68459?article=68459-F
69128-A,Short Jersey Top,$12.99,$7.99,http://api.hm.com/us/product/69128?article=69128-A
56522-E,Long-sleeved Top,$24.99,$14.99,http://api.hm.com/us/product/56522?article=56522-E
67801-A,Draped Top,$17.99,$9.99,http://api.hm.com/us/product/67801?article=67801-A
63533-D,Fitted Sweater,$29.99,$9.99,http://api.hm.com/us/product/63533?article=63533-D
55410-E,Mock-turtleneck Top,$17.99,$12.99,http://api.hm.com/us/product/55410?article=55410-E
67573-G,Ruffled Top,$17.99,$9.99,http://api.hm.com/us/product/67573?article=67573-G
67941-C,Ribbed Top,$29.99,$14.99,http://api.hm.com/us/product/67941?article=67941-C
84923-A,Embellished Chiffon Top,$39.99,$20,http://api.hm.com/us/product/84923?article=84923-A
39799-E,Jersey Top,$14.99,$7.99,http://api.hm.com/us/product/39799?article=39799-E
64869-E,Long-sleeved Linen Top,$24.99,$12.99,http://api.hm.com/us/product/64869?article=64869-E
62525-A,Wrap-front Sweater,$12.99,$9.99,http://api.hm.com/us/product/62525?article=62525-A
67945-C,Lace Top,$34.99,$19.99,http://api.hm.com/us/product/67945?article=67945-C
30028-S,Long-sleeved Jersey Top,$12.99,$9.99,http://api.hm.com/us/product/30028?article=30028-S
66154-B,Wide-cut T-shirt,$12.99,$7.99,http://api.hm.com/us/product/66154?article=66154-B
65298-B,Mesh Ruffled Top,$19.99,$14.99,http://api.hm.com/us/product/65298?article=65298-B
69673-A,Short Top,$34.99,$17.99,http://api.hm.com/us/product/69673?article=69673-A
65256-A,V-neck Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/65256?article=65256-A
66133-B,Short Top,$9.99,$5.99,http://api.hm.com/us/product/66133?article=66133-B
56148-A,Ribbed Top,$19.99,$9.99,http://api.hm.com/us/product/56148?article=56148-A
59539-C,Glittery Bustier,$24.99,$12.99,http://api.hm.com/us/product/59539?article=59539-C
65484-D,Fine-knit Top,$17.99,$7.99,http://api.hm.com/us/product/65484?article=65484-D
64045-A,V-neck Short-sleeved Sweater,$17.99,$7.99,http://api.hm.com/us/product/64045?article=64045-A
58201-A,Ribbed Top,$34.99,$12.99,http://api.hm.com/us/product/58201?article=58201-A
63643-E,Silk-blend Top,$24.99,$12.99,http://api.hm.com/us/product/63643?article=63643-E
44914-L,Jersey Crêpe Top,$17.99,$9.99,http://api.hm.com/us/product/44914?article=44914-L
69500-A,Velour T-shirt,$17.99,$9.99,http://api.hm.com/us/product/69500?article=69500-A
56522-C,Long-sleeved Top,$24.99,$12.99,http://api.hm.com/us/product/56522?article=56522-C
64990-B,T-shirt with Printed Design,$14.99,$9.99,http://api.hm.com/us/product/64990?article=64990-B
68304-B,Short Top,$14.99,$9.99,http://api.hm.com/us/product/68304?article=68304-B
71504-B,Short Ruffled Top,$24.99,$19.99,http://api.hm.com/us/product/71504?article=71504-B
62963-B,Mock-turtleneck Bodysuit,$14.99,$7.99,http://api.hm.com/us/product/62963?article=62963-B
59865-C,Ribbed Sweater,$12.99,$9.99,http://api.hm.com/us/product/59865?article=59865-C
64983-A,Ribbed Top,$17.99,$9.99,http://api.hm.com/us/product/64983?article=64983-A
55410-D,Mock-turtleneck Top,$17.99,$9.99,http://api.hm.com/us/product/55410?article=55410-D
69011-C,Jersey Camisole Top,$6.99,$4.99,http://api.hm.com/us/product/69011?article=69011-C
68459-I,Wide-cut Camisole Top,$14.99,$9.99,http://api.hm.com/us/product/68459?article=68459-I
59964-A,V-neck Camisole Top,$17.99,$12.99,http://api.hm.com/us/product/59964?article=59964-A
66158-C,Velvet Camisole Top,$24.99,$14.99,http://api.hm.com/us/product/66158?article=66158-C
62216-B,Short-sleeved Top,$12.99,$5.99,http://api.hm.com/us/product/62216?article=62216-B
53939-A,Off-the-shoulder Top,$24.99,$14.99,http://api.hm.com/us/product/53939?article=53939-A
68051-B,Velour Camisole Top,$14.99,$9.99,http://api.hm.com/us/product/68051?article=68051-B
64828-C,Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/64828?article=64828-C
65225-A,Lyocell Top,$24.99,$19.99,http://api.hm.com/us/product/65225?article=65225-A
57315-C,Ribbed Top,$17.99,$9.99,http://api.hm.com/us/product/57315?article=57315-C
65855-A,Loose-knit Top,$24.99,$14.99,http://api.hm.com/us/product/65855?article=65855-A
57946-C,Ribbed Top,$34.99,$14.99,http://api.hm.com/us/product/57946?article=57946-C
63209-A,Short Top,$29.99,$17.99,http://api.hm.com/us/product/63209?article=63209-A
66546-C,Long-sleeved Lace Top,$34.99,$19.99,http://api.hm.com/us/product/66546?article=66546-C
63080-B,V-neck Camisole Top,$17.99,$9.99,http://api.hm.com/us/product/63080?article=63080-B
67259-D,Fine-knit Camisole Top,$29.99,$12.99,http://api.hm.com/us/product/67259?article=67259-D
42288-E,Sleeveless Jersey Top,$24.99,$12.99,http://api.hm.com/us/product/42288?article=42288-E
61286-A,Rib-knit Sweater,$24.99,$14.99,http://api.hm.com/us/product/61286?article=61286-A
69072-A,Short Printed Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/69072?article=69072-A
54285-I,Long-sleeved Jersey Top,$17.99,$9.99,http://api.hm.com/us/product/54285?article=54285-I
62105-B,Short Top with Lacing,$29.99,$17.99,http://api.hm.com/us/product/62105?article=62105-B
67949-B,Hemstitch-embroidered Top,$24.99,$14.99,http://api.hm.com/us/product/67949?article=67949-B
63835-A,Pointelle Top,$24.99,$14.99,http://api.hm.com/us/product/63835?article=63835-A
67941-A,Ribbed Top,$29.99,$14.99,http://api.hm.com/us/product/67941?article=67941-A
42288-A,Sleeveless Jersey Top,$24.99,$12.99,http://api.hm.com/us/product/42288?article=42288-A
62358-B,Uni Tee,$19.99,$12.99,http://api.hm.com/us/product/62358?article=62358-B
49630-F,Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/49630?article=49630-F
59316-B,Top with Lacing,$24.99,$12.99,http://api.hm.com/us/product/59316?article=59316-B
62288-B,Camisole Top with Mesh Detail,$17.99,$12.99,http://api.hm.com/us/product/62288?article=62288-B
66728-B,Ribbed Camisole Top,$12.99,$5.99,http://api.hm.com/us/product/66728?article=66728-B
58123-A,Sequined Bustier,$39.99,$17.99,http://api.hm.com/us/product/58123?article=58123-A
42288-B,Sleeveless Jersey Top,$24.99,$12.99,http://api.hm.com/us/product/42288?article=42288-B
70150-B,Crushed-velvet Top,$14.99,$9.99,http://api.hm.com/us/product/70150?article=70150-B
66546-A,Long-sleeved Lace Top,$34.99,$19.99,http://api.hm.com/us/product/66546?article=66546-A
61183-A,Off-the-shoulder Top,$34.99,$24.99,http://api.hm.com/us/product/61183?article=61183-A
39799-D,Jersey Top,$14.99,$7.99,http://api.hm.com/us/product/39799?article=39799-D
65437-A,Lyocell Top,$29.99,$17.99,http://api.hm.com/us/product/65437?article=65437-A
34980-A,Jersey Top,$12.99,$7.99,http://api.hm.com/us/product/34980?article=34980-A
65389-E,T-shirt with Printed Design,$14.99,$9.99,http://api.hm.com/us/product/65389?article=65389-E
66154-A,Wide-cut T-shirt,$12.99,$7.99,http://api.hm.com/us/product/66154?article=66154-A
63091-A,Tank Top with Ties,$24.99,$14.99,http://api.hm.com/us/product/63091?article=63091-A
58380-A,Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/58380?article=58380-A
65256-C,V-neck Jersey Top,$14.99,$9.99,http://api.hm.com/us/product/65256?article=65256-C
64688-B,Jersey Top,$12.99,$5.99,http://api.hm.com/us/product/64688?article=64688-B
60536-A,Sequin-embroidered Bustier,$34.99,$17.99,http://api.hm.com/us/product/60536?article=60536-A
82397-A,Chiffon Top,$39.99,$14.99,http://api.hm.com/us/product/82397?article=82397-A
68677-A,Wide-cut T-shirt,$24.99,$12.99,http://api.hm.com/us/product/68677?article=68677-A
56522-F,Long-sleeved Top,$24.99,$14.99,http://api.hm.com/us/product/56522?article=56522-F
56526-B,Ribbed Top,$14.99,$9.99,http://api.hm.com/us/product/56526?article=56526-B
67070-A,Handkerchief Top,$24.99,$14.99,http://api.hm.com/us/product/67070?article=67070-A
55497-C,V-neck Camisole Top,$39.99,$19.99,http://api.hm.com/us/product/55497?article=55497-C
66158-B,Velvet Camisole Top,$24.99,$14.99,http://api.hm.com/us/product/66158?article=66158-B
60761-A,Short Top,$24.99,$14.99,http://api.hm.com/us/product/60761?article=60761-A
